mode_type,street,lat,long
mv,BEALE ST,42.2832951193523,-71.0639462482441
ped,DORCHESTER AVE,42.3089945432426,-71.0581093340453
mv,,42.3839319355037,-71.0226562306192
ped,NORWOOD ST,42.2911625991439,-71.0456284267665
mv,,42.3735124938485,-71.0381400152546
mv,ADAMS ST,42.3077185778113,-71.0631721098635
mv,,42.3148473807923,-71.0973069407805
ped,,42.3226377704839,-71.0985548299738
mv,SELDEN ST,42.2789323966129,-71.0845274775059
mv,BLAKE ST,42.2685302819301,-71.1052039951687
mv,,42.2732726327598,-71.0640925380709
mv,,42.3213715754033,-71.0658567772903
mv,,42.3519089795404,-71.0706755916815
ped,,42.3518007349409,-71.055901757536
ped,COLUMBUS AVE,42.3461781797584,-71.074854513765
mv,THEODORE ST,42.284014591455,-71.0883689846169
mv,MORELAND ST,42.3258711538411,-71.0828751159638
mv,,42.3570342071346,-71.126241306044
mv,,42.2741132834107,-71.169433967044
ped,FULLER ST,42.2806651433541,-71.0774295643564
ped,,42.2939420570211,-71.0719096816444
mv,,42.2352543132018,-71.1248303351354
mv,TERMINAL RD,42.3653448142483,-71.0211187807035
mv,,42.3324273799827,-71.05167474682
mv,,42.2981232314924,-71.0870484576717
mv,,42.3401914269435,-71.068597703193
ped,TOPEKA ST,42.3337098576393,-71.0667117807061
mv,,42.300666084375,-71.0491771297615
mv,COMMONWEALTH AVE,42.3512991150921,-71.079620569522
mv,,42.3338261487398,-71.0825102121349
mv,,42.3286131369721,-71.0827416374152
mv,,42.332547160004,-71.0721241968683
mv,ATHELWOLD ST,42.2962815358933,-71.0758744943153
mv,,42.3312631382781,-71.0768912121641
mv,CAMBRIDGE ST,42.382343830338,-71.0791467423771
mv,,42.3237741246441,-71.0552761379171
mv,WELD ST,42.2928807704313,-71.1544483046466
mv,WILLIAM T MORRISSEY BLVD,42.2898346913597,-71.0451284830472
ped,,42.3481180472712,-71.0881347734684
mv,DORCHESTER AVE,42.3161875161341,-71.0566893368374
ped,LEO M BIRMINGHAM PKWY,42.3603773648178,-71.1464903669262
mv,WILLIAM T MORRISSEY BLVD,42.3162187650577,-71.0481004612798
mv,,42.3492159749778,-71.130023511871
mv,ADAMS ST,42.3034186177914,-71.0606905294299
mv,HILL TOP ST,42.2806938059941,-71.0485883097674
mv,,42.3167806450845,-71.0851660107328
mv,DEVON ST,42.3089308226984,-71.0781582749727
mv,,42.3301605047986,-71.0473836233742
ped,WHITTIER PL,42.3656581746948,-71.0673727884659
ped,PETERBOROUGH ST,42.3434111211705,-71.0984284717403
mv,LOVELL ST,42.378494831704,-71.0255480960498
mv,VINE ST,42.376588906786,-71.0558583554768
mv,,42.3304961163709,-71.0612580244188
ped,,42.2687033786101,-71.0936164470303
mv,,42.3014670838763,-71.0495521381343
mv,,42.3818801186865,-71.0503551122634
mv,,42.3797942090972,-71.0250615426553
mv,,42.350465587078,-71.0608656512681
mv,NORFOLK ST,42.2826616576622,-71.0853121512737
mv,GENEVA AVE,42.3068951540891,-71.0794353979482
mv,,42.2840120486764,-71.0439051319674
mv,FENWAY NULL,42.3395210615286,-71.0996862968153
mv,AMERICAN LEGION HWY,42.2832313387748,-71.1136199874094
mv,,42.2571771682061,-71.1268327744547
mv,,42.3491856128879,-71.0928747759874
ped,,42.332547160004,-71.0721241968683
mv,,42.3147695154896,-71.0835431096894
mv,,42.280910832972,-71.0924265175369
mv,,42.2558365128312,-71.1241135678666
ped,,42.3338261487398,-71.0825102121349
ped,,42.3439552541199,-71.0659417848252
mv,FENWAY NULL,42.3413804053259,-71.1019157887957
ped,BOYLSTON ST,42.348782531726,-71.082187661917
mv,,42.3215995638235,-71.1121243561254
mv,,42.3485861865179,-71.1068862520944
mv,,42.288265973467,-71.0553615363929
ped,BOLSTER ST,42.3219823490669,-71.1058560966095
mv,,42.2876880686948,-71.093869231729
mv,OLD COLONY AVE,42.3241883719914,-71.0524245792439
mv,,42.2824352882014,-71.1149533487198
mv,WILLIAM T MORRISSEY BLVD,42.2974991128784,-71.0493328180605
